,ID,post_id,post_title,post_excerpt,post_content_filtered,post_content,post_name,post_parent,permalink,guid,each_description,case_description,ad_copy_text,ItemId,ItemIdText,StoreLocationId,ProductName,BrandName,BrandNameClean,BrandNameLower,Description,FullText,Price,SalePrice,UPCs,SubCategoryName,CategoryName,DepartmentName,DisableOrdering,OnSale,Featured,StorageDescription,ProductSize,UnitOfMeasure,SellUnit,total_popularity,trending_popularity,ProductFacets,score,terms.brand,terms
0,2424891820,16101,Finely Shredded Lettuce,,"<p>Lettuce, Iceberg, 1/8 Inch Cut Shredded, Fresh Cut, 5 Lb Bag</p>","<p>Lettuce, Iceberg, 1/8 Inch Cut Shredded, Fresh Cut, 5 Lb Bag</p>",242489,0,https://gfsstore.com/products/242489/,https://gfsstore.com/products/242489/,,,"<p>Lettuce, Iceberg, 1/8 Inch Cut Shredded, Fresh Cut, 5 Lb Bag</p>","['2424891', '242489']",2424891|242489,182,Finely Shredded Lettuce,Ready-Set-Serve,Ready-Set-Serve,ready-set-serve,"Lettuce, Iceberg, 1/8 Inch Cut Shredded, Fresh Cut, 5 Lb Bag","Finely Shredded Lettuce Ready-Set-Serve Ready-to-Use Vegetables Lettuce, Iceberg, 1/8 Inch Cut Shredded, Fresh Cut, 5 Lb Bag",8.99,,"['093901242488', '400024248912', '611628919102', '611628919300']",VALUE-ADD LETTUCE & SALAD GREENS,Ready-to-Use Vegetables,Produce,,,,Cooler,80,OZ,Bag,100,1457,"[{'facet_name': 'Vegetables', 'facet_value': 'Leafy Greens', 'facet_term_id': 1078}, {'facet_name': 'Party Menu Faves', 'facet_value': 'Taco Bar', 'facet_term_id': 1057}]",,"[{'term_id': 50, 'slug': 'markon-ready-set-serve', 'name': 'Markon Ready Set Serve', 'parent': 0, 'term_taxonomy_id': 50}]",
1,7248011820,18536,Strawberries,,"<p>Strawberries, Fresh, Strawberry, 1 Lb Carton</p>","<p>Strawberries, Fresh, Strawberry, 1 Lb Carton</p>",724801,0,https://gfsstore.com/?post_type=product&#038;p=18536,https://gfsstore.com/?post_type=product&#038;p=18536,,,"<p>Strawberries, Fresh, Strawberry, 1 Lb Carton</p>","['7248011', '724801']",7248011|724801,182,Strawberries,,,,"<p>Strawberries, Fresh, Strawberry, 1 Lb Carton</p>","Strawberries  Fresh Fruit <p>Strawberries, Fresh, Strawberry, 1 Lb Carton</p>",3.99,,"['033383200279', '033383200330', '033383201276', '036800490406', '066022003719', '066022006758', '069298701037', '069905899935', '071430007525', '196852999248', '400072480111', '611628926827', '627843460466', '648196002332', '665290001184', '665290001825', '671704000018', '700750016312', '715756200023', '715756200115', '715756506019', '715756601011', '740075000894', '740075001631', '7503028154005', '75030281540050', '7503035642007', '7503281540058', '769197404021', '780353784030', '811334020158', '811334020288', '811993030000', '812049005102', '812092030175', '812794010437', '850001934008', '850007478063', '850025483100', '850582002004', '850789002036', '852575008284', '852575008550', '852990008500', '853447003024', '853447003390', '853447003642', '853951002025', '854013002014', '854151002679', '854877007019', '856612001115', '856694007371', '857620003030', '857895003001', '859426005003', '859426005065', '8603']",FRESH BERRIES,Fresh Fruit,Produce,,,,Cooler,16,OZ,Carton,8,768,"[{'facet_name': 'Fruits', 'facet_value': 'Strawberries', 'facet_term_id': 1034}]",,,[]
2,6958211820,18964,Iceberg Lettuce,,"<p>Lettuce, Iceberg, Fresh, 1 Ct Package</p>","<p>Lettuce, Iceberg, Fresh, 1 Ct Package</p>",695821,0,https://gfsstore.com/?post_type=product&#038;p=18964,https://gfsstore.com/?post_type=product&#038;p=18964,,,"<p>Lettuce, Iceberg, Fresh, 1 Ct Package</p>","['6958211', '695821']",6958211|695821,182,Iceberg Lettuce,Dandy,Dandy,dandy,"Lettuce, Iceberg, Fresh, 1 Ct Package","Iceberg Lettuce Dandy Fresh Vegetables Lettuce, Iceberg, Fresh, 1 Ct Package",2.79,,"['000651011004', '027918040614', '033383650203', '033383650708', '060556200408', '071430031872', '072668100019', '073574650209', '073574650506', '400069582118', '60556200408', '65951300012', '659513000122', '738761300151', '740695650202', '740695650219', '765321650203', '858959004514', '858959004910', '866135000021']",FRESH LETTUCE & SALAD GREENS,Fresh Vegetables,Produce,,,,Cooler,1,EA,Package,3,482,"[{'facet_name': 'Vegetables', 'facet_value': 'Leafy Greens', 'facet_term_id': 1078}, {'facet_name': 'Party Menu Faves', 'facet_value': 'Sandwiches &amp; Sliders', 'facet_term_id': 1059}, {'facet_name': 'Party Menu Faves', 'facet_value': 'Taco Bar', 'facet_term_id': 1057}]",,,[]
3,1847501820,17932,Fresh Grape Tomatoes,,"<p>Tomatoes, Grape, Sweet, Fresh, 2 Lb Package</p>","<p>Tomatoes, Grape, Sweet, Fresh, 2 Lb Package</p>",184750,0,https://gfsstore.com/?post_type=product&#038;p=17932,https://gfsstore.com/?post_type=product&#038;p=17932,,,"<p>Tomatoes, Grape, Sweet, Fresh, 2 Lb Package</p>","['1847501', '184750']",1847501|184750,182,Fresh Grape Tomatoes,,,,"Tomatoes, Grape, Sweet, Fresh, 2 Lb Package","Fresh Grape Tomatoes  Fresh Vegetables Tomatoes, Grape, Sweet, Fresh, 2 Lb Package",5.49,,"['010087184753', '057836655867', '716310961909', '796553457889', '910087847576', '910087848153']",FRESH TOMATOES,Fresh Vegetables,Produce,,,,Cooler,32,OZ,Package,1309,445,"[{'facet_name': 'Vegetables', 'facet_value': 'Tomatoes', 'facet_term_id': 1152}]",,,[]
4,7953521820,18567,Fresh Vine-Ripened Tomatoes,,"<p>Tomatoes, Fresh, 4 Ct Package</p>","<p>Tomatoes, Fresh, 4 Ct Package</p>",795352,0,https://gfsstore.com/?post_type=product&#038;p=18567,https://gfsstore.com/?post_type=product&#038;p=18567,,,"<p>Tomatoes, Fresh, 4 Ct Package</p>","['7953521', '795352']",7953521|795352,182,Fresh Vine-Ripened Tomatoes,,,,"Tomatoes, Fresh, 4 Ct Package","Fresh Vine-Ripened Tomatoes  Fresh Vegetables Tomatoes, Fresh, 4 Ct Package",2.79,,"['400079535210', '796553200621']",FRESH TOMATOES,Fresh Vegetables,Produce,,,,Dry,4,EA,Package,1136,392,"[{'facet_name': 'Vegetables', 'facet_value': 'Tomatoes', 'facet_term_id': 1152}]",,,[]
5,7259611820,34713,Bananas,,"<p>Banana, Fresh, 40 Lb Package</p>","<p>Banana, Fresh, 40 Lb Package</p>",725961,0,https://gfsstore.com/?post_type=product&#038;p=34713,https://gfsstore.com/?post_type=product&#038;p=34713,,,"<p>Banana, Fresh, 40 Lb Package</p>","['7259611', '725961']",7259611|725961,182,Bananas,,,,"<p>Banana, Fresh, Approximately 0.4lbs each</p>","Bananas  Fresh Fruit <p>Banana, Fresh, Approximately 0.4lbs each</p>",0.59,,['400072596119'],FRESH BANANAS,Fresh Fruit,Produce,,,,Dry,7.11,OZ,Package,6,391,"[{'facet_name': 'Fruits', 'facet_value': 'Bananas', 'facet_term_id': 1021}]",,,[]
6,6659921820,51589,Large Cucumbers,,"<p>Cucumbers, Fresh</p>","<p>Cucumbers, Fresh</p>",665992,0,https://gfsstore.com/products/665992/,https://gfsstore.com/products/665992/,,,"<p>Cucumbers, Fresh</p>","['6659921', '665992']",6659921|665992,182,Large Cucumbers,,,,"Cucumbers, Fresh","Large Cucumbers  Fresh Vegetables Cucumbers, Fresh",0.79,,['400066599218'],FRESH GOURDS,Fresh Vegetables,Produce,,,,Cooler,1,EA,Each,1146,378,"[{'facet_name': 'Vegetables', 'facet_value': 'Cucumbers', 'facet_term_id': 1077}]",,,[]
7,1885851820,139705,Blueberries,,"<p>Blueberry, 1 Each, 1 Pint</p>","<p>Blueberry, 1 Each, 1 Pint</p>",188585,0,https://gfsstore.com/products/188585/,https://gfsstore.com/products/188585/,,,"<p>Blueberry, 1 Each, 1 Pint</p>","['1885851', '188585']",1885851|188585,182,Blueberries,,,,"Blueberry, 1 Each, 1 Pint","Blueberries  Fresh Fruit Blueberry, 1 Each, 1 Pint",3.59,,"['033383220017', '033383221014', '033383221281', '033383222011', '040232451676', '045868000014', '052901000207', '052901700206', '066022000909', '071430011515', '400018858516', '665290050403', '671704000193', '697443102011', '6974431020118', '708174220018', '715756300044', '715756500031', '7157565001164', '717524222022', '740121222010', '740121222287', '7503015780095', '750302898507', '757362000277', '761635203609', '769197300071', '769197300231', '7750399001616', '7751262002686', '7751262002907', '7751262003775', '7754171001177', '77541710011778', '7754171001214', '7754171001252', '7757362000027', '7758452000392', '77584520003922', '7800122000291', '7804628071359', '7804628071380', '7804632880138', '7804642320020', '7804643410027', '7804650090113', '7804650300021', '7804653750021', '7804654660015', '780837000434', '811334020226', '811654020036', '811654020081', '812049006406', '812049006901', '812092030']",FRESH BERRIES,Fresh Fruit,Produce,,,,Cooler,1,EA,Package,3,325,[],,,[]
8,2065041820,15975,Fresh Cut Salad Mix,,"<p>Salad Blend, Mixed, with Iceberg/Carrots/Red Cabbage, Fresh Cut, 5 Lb Bag</p>","<p>Salad Blend, Mixed, with Iceberg/Carrots/Red Cabbage, Fresh Cut, 5 Lb Bag</p>",206504,0,https://gfsstore.com/products/206504/,https://gfsstore.com/products/206504/,,,"<p>Salad Blend, Mixed, with Iceberg/Carrots/Red Cabbage, Fresh Cut, 5 Lb Bag</p>","['2065041', '206504']",2065041|206504,182,Fresh Cut Salad Mix,Ready-Set-Serve,Ready-Set-Serve,ready-set-serve,"Salad Blend, Mixed, with Iceberg/Carrots/Red Cabbage, Fresh Cut, 5 Lb Bag","Fresh Cut Salad Mix Ready-Set-Serve Ready-to-Use Vegetables Salad Blend, Mixed, with Iceberg/Carrots/Red Cabbage, Fresh Cut, 5 Lb Bag",8.99,,"['093901206503', '400020650412', '611628926353']",VALUE-ADD LETTUCE & SALAD GREENS,Ready-to-Use Vegetables,Produce,,,,Cooler,80,OZ,Bag,42,318,"[{'facet_name': 'Vegetables', 'facet_value': 'Leafy Greens', 'facet_term_id': 1078}]",,"[{'term_id': 50, 'slug': 'markon-ready-set-serve', 'name': 'Markon Ready Set Serve', 'parent': 0, 'term_taxonomy_id': 50}]",
9,6930781820,16788,Spanish Onions,,"<p>Onions, Yellow, Fresh, 3 Lb Bag</p>","<p>Onions, Yellow, Fresh, 3 Lb Bag</p>",693078,0,https://gfsstore.com/products/693078/,https://gfsstore.com/products/693078/,,,"<p>Onions, Yellow, Fresh, 3 Lb Bag</p>","['6930781', '693078']",6930781|693078,182,Spanish Onions,,,,"Onions, Yellow, Fresh, 3 Lb Bag","Spanish Onions  Fresh Vegetables Onions, Yellow, Fresh, 3 Lb Bag",2.79,,"['033383041643', '033383600024', '033383900018', '034924000488', '047303011036', '071228131333', '400069307810', '400075417114', '605806001239', '659513000221', '705123600020', '735718000041', '819255021063', '824206000288', '851533003293', '851573002355', '857514004006', '884853630214', '885677711103']",FRESH ONIONS,Fresh Vegetables,Produce,,,,Cooler,48,OZ,Bag,3,318,"[{'facet_name': 'Vegetables', 'facet_value': 'Onions', 'facet_term_id': 1107}]",,,[]
