,id,title,domain,url,internal_url,classnames,status,reasons,total_rating,is_blocked,bookmark,image,prep_time,cook_time,total_time,servings,servings_default,sum_weight_in_ml,servings_text,unit,ingredients,optional_ingredients,count_important_items,count_pantry_items,count_missing_items,tags,is_error
0,296107,Fettuccine Alfredo Recipe,lifesambrosia.com,http://www.lifesambrosia.com/fettuccine-alfredo-recipe,/recipe/296107/fettuccine-alfredo-recipe,isnt-blocked,is-enabled,,3.75,False,,/cache/images/recipes/296000/296107.jpg,5min,,5min,4.0,4.0,1173.37,10 oz,g,"[{'id': 313, 'ingredient': '1 pound fettuccine pasta', 'ratings': [], 'classnames': '', 'category_id': 11, 'in_pantry': False, 'slug': 'fettucine', 'name': 'Fettuccine', 'commonName': 'Fettuccine', 'image': '/cache/images/foods/fettucine.jpg', 'thumbnail': '/cache/images/foods-thumbnail/fettucine.jpg'}, {'id': 183, 'ingredient': '1 cup freshly grated Parmigiano-Reggiano cheese', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cheese-parmesan', 'name': 'Parmesan', 'commonName': 'Parmesan', 'image': '/cache/images/foods/cheese-parmesan.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cheese-parmesan.jpg'}, {'id': 151, 'ingredient': '1 cup heavy cream', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cream', 'name': 'Cream', 'commonName': 'Cream', 'image': '/cache/images/foods/cream.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cream.jpg'}, {'id': 182, 'ingredient': '1/2 cup freshly grated Romano cheese', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cheese-pecorino', 'name': 'Romano', 'commonName': 'Romano', 'image': '/cache/images/foods/cheese-pecorino.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cheese-pecorino.jpg'}, {'id': 518, 'ingredient': '1/4 cup butter (half a stick)', 'ratings': [], 'classnames': '', 'category_id': 3, 'in_pantry': False, 'slug': 'butter', 'name': 'Butter', 'commonName': 'Butter', 'image': '/cache/images/foods/butter.jpg', 'thumbnail': '/cache/images/foods-thumbnail/butter.jpg'}, {'id': 411, 'ingredient': '2 tablespoons chopped parsley', 'ratings': [], 'classnames': '', 'category_id': 13, 'in_pantry': False, 'slug': 'parsley', 'name': 'Parsley', 'commonName': 'Parsley', 'image': '/cache/images/foods/parsley.jpg', 'thumbnail': '/cache/images/foods-thumbnail/parsley.jpg'}, {'id': 433, 'ingredient': '4 cloves garlic, minced', 'ratings': [], 'classnames': '', 'category_id': 7, 'in_pantry': False, 'slug': 'garlic', 'name': 'Garlic', 'commonName': 'Garlic', 'image': '/cache/images/foods/garlic.jpg', 'thumbnail': '/cache/images/foods-thumbnail/garlic.jpg'}]",[],7,0,7,[],False
1,307665,Bacon Alfredo Pasta,tasteandtellblog.com,https://www.tasteandtellblog.com/bacon-alfredo-pasta/,/recipe/307665/bacon-alfredo-pasta,isnt-blocked,is-enabled,,3.75,False,,/cache/images/recipes/307000/307665.jpg,15min,,30min,4.0,4.0,1537.82,14 oz,g,"[{'id': 317, 'ingredient': '16 oz spaghetti noodles', 'ratings': [], 'classnames': '', 'category_id': 11, 'in_pantry': False, 'slug': 'spaghetti', 'name': 'Spaghetti', 'commonName': 'Spaghetti', 'image': '/cache/images/foods/spaghetti.jpg', 'thumbnail': '/cache/images/foods-thumbnail/spaghetti.jpg'}, {'id': 183, 'ingredient': '1 cup grated Parmesan cheese', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cheese-parmesan', 'name': 'Parmesan', 'commonName': 'Parmesan', 'image': '/cache/images/foods/cheese-parmesan.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cheese-parmesan.jpg'}, {'id': 513, 'ingredient': '1½ cups chicken broth', 'ratings': [], 'classnames': '', 'category_id': 3, 'in_pantry': False, 'slug': 'broth-chicken', 'name': 'Broth, Chicken', 'commonName': 'Chicken Broth', 'image': '/cache/images/foods/broth-chicken.jpg', 'thumbnail': '/cache/images/foods-thumbnail/broth-chicken.jpg'}, {'id': 151, 'ingredient': '1 cup heavy cream', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cream', 'name': 'Cream', 'commonName': 'Cream', 'image': '/cache/images/foods/cream.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cream.jpg'}, {'id': 507, 'ingredient': '½ cup all-purpose flour', 'ratings': [], 'classnames': '', 'category_id': 3, 'in_pantry': False, 'slug': 'flour-all-purpose', 'name': 'All-purpose Flour', 'commonName': 'All-purpose Flour', 'image': '/cache/images/foods/flour-all-purpose.jpg', 'thumbnail': '/cache/images/foods-thumbnail/flour-all-purpose.jpg'}, {'id': 558, 'ingredient': '¼ cup bacon', 'ratings': [], 'classnames': '', 'category_id': 8, 'in_pantry': False, 'slug': 'bacon', 'name': 'Bacon', 'commonName': 'Bacon', 'image': '/cache/images/foods/bacon.jpg', 'thumbnail': '/cache/images/foods-thumbnail/bacon.jpg'}, {'id': 518, 'ingredient': '¼ cup butter', 'ratings': [], 'classnames': '', 'category_id': 3, 'in_pantry': False, 'slug': 'butter', 'name': 'Butter', 'commonName': 'Butter', 'image': '/cache/images/foods/butter.jpg', 'thumbnail': '/cache/images/foods-thumbnail/butter.jpg'}]","[{'id': 411, 'ingredient': 'parsley, for garnish (optional)', 'ratings': [], 'classnames': 'is-optional', 'category_id': 13, 'in_pantry': False, 'slug': 'parsley', 'name': 'Parsley', 'commonName': 'Parsley', 'image': '/cache/images/foods/parsley.jpg', 'thumbnail': '/cache/images/foods-thumbnail/parsley.jpg'}]",7,0,7,[],False
2,174527,Tofu Shirataki Fettuccini Alfredo,geniuskitchen.com,http://www.geniuskitchen.com/recipe/tofu-shirataki-fettuccini-alfredo-284663,/recipe/174527/tofu-shirataki-fettuccini-alfredo,isnt-blocked,is-enabled,,2.5499999523163,False,,/cache/images/recipes/174000/174527.jpg,,,12min,1.0,1.0,283.45,10 oz,g,"[{'id': 73, 'ingredient': '1 (8 ounce) package shirataki noodles (tofu)', 'ratings': [], 'classnames': '', 'category_id': 15, 'in_pantry': False, 'slug': 'tofu', 'name': 'Tofu', 'commonName': 'Tofu', 'image': '/cache/images/foods/tofu.jpg', 'thumbnail': '/cache/images/foods-thumbnail/tofu.jpg'}, {'id': 157, 'ingredient': '2 tablespoons fat free cream cheese', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cream-cheese', 'name': 'Cream Cheese', 'commonName': 'Cream Cheese', 'image': '/cache/images/foods/cream-cheese.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cream-cheese.jpg'}, {'id': 183, 'ingredient': '2 teaspoons reduced-fat parmesan cheese', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cheese-parmesan', 'name': 'Parmesan', 'commonName': 'Parmesan', 'image': '/cache/images/foods/cheese-parmesan.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cheese-parmesan.jpg'}, {'id': 150, 'ingredient': '1 teaspoon fat free sour cream', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cream-sour', 'name': 'Sour Cream', 'commonName': 'Sour Cream', 'image': '/cache/images/foods/cream-sour.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cream-sour.jpg'}, {'id': 420, 'ingredient': 'salt and pepper (to taste)', 'ratings': [], 'classnames': 'in-pantry', 'category_id': 13, 'in_pantry': True, 'slug': 'salt-pepper', 'name': 'Salt & Pepper', 'commonName': 'Salt & Pepper', 'image': '/cache/images/foods/salt-pepper.jpg', 'thumbnail': '/cache/images/foods-thumbnail/salt-pepper.jpg'}]",[],5,1,4,[],False
3,38419,Summery Fettuccine Alfredo,myrecipes.com,http://www.myrecipes.com/recipe/summery-fettuccine-alfredo,/recipe/38419/summery-fettuccine-alfredo,isnt-blocked,is-enabled,,1.5499999523163,False,,/cache/images/recipes/38000/38419.jpg,,,,3.0,3.0,769.91,9 oz,g,"[{'id': 313, 'ingredient': '3/4 pound  fettuccine', 'ratings': [], 'classnames': '', 'category_id': 11, 'in_pantry': False, 'slug': 'fettucine', 'name': 'Fettuccine', 'commonName': 'Fettuccine', 'image': '/cache/images/foods/fettucine.jpg', 'thumbnail': '/cache/images/foods-thumbnail/fettucine.jpg'}, {'id': 162, 'ingredient': '1 cup  thick whole-milk ricotta cheese', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cheese-ricotta', 'name': 'Ricotta', 'commonName': 'Ricotta', 'image': '/cache/images/foods/cheese-ricotta.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cheese-ricotta.jpg'}, {'id': 182, 'ingredient': '1/2 cup  finely grated pecorino cheese, 1 1/2 ounces plus more for serving', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cheese-pecorino', 'name': 'Romano', 'commonName': 'Romano', 'image': '/cache/images/foods/cheese-pecorino.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cheese-pecorino.jpg'}, {'id': 380, 'ingredient': '1/4 cup  chopped basil leaves', 'ratings': [], 'classnames': '', 'category_id': 13, 'in_pantry': False, 'slug': 'basil', 'name': 'Basil', 'commonName': 'Basil', 'image': '/cache/images/foods/basil.jpg', 'thumbnail': '/cache/images/foods-thumbnail/basil.jpg'}, {'id': 420, 'ingredient': 'Salt and freshly ground black pepper', 'ratings': [], 'classnames': 'in-pantry', 'category_id': 13, 'in_pantry': True, 'slug': 'salt-pepper', 'name': 'Salt & Pepper', 'commonName': 'Salt & Pepper', 'image': '/cache/images/foods/salt-pepper.jpg', 'thumbnail': '/cache/images/foods-thumbnail/salt-pepper.jpg'}]",[],5,1,4,[],False
4,352901,Chicken and Broccoli Alfredo,myrecipes.com,http://www.myrecipes.com/recipe/chicken-broccoli-alfredo,/recipe/352901/chicken-and-broccoli-alfredo,isnt-blocked,is-enabled,,4.4000000953674,False,,/cache/images/recipes/352000/352901.jpg,,,30min,6.0,6.0,1303.23,8 oz,g,"[{'id': 823, 'ingredient': '1 boned, skinned chicken breast half (14 oz.), cubed', 'ratings': [], 'classnames': '', 'category_id': 8, 'in_pantry': False, 'slug': 'chicken-breast', 'name': 'Chicken Breast', 'commonName': 'Chicken Breast', 'image': '/cache/images/foods/chicken-breast.jpg', 'thumbnail': '/cache/images/foods-thumbnail/chicken-breast.jpg'}, {'id': 457, 'ingredient': '12 ounces broccoli florets, cut into bite-size pieces', 'ratings': [], 'classnames': '', 'category_id': 7, 'in_pantry': False, 'slug': 'broccoli', 'name': 'Broccoli', 'commonName': 'Broccoli', 'image': '/cache/images/foods/broccoli.jpg', 'thumbnail': '/cache/images/foods-thumbnail/broccoli.jpg'}, {'id': 313, 'ingredient': '8 ounces fettuccine', 'ratings': [], 'classnames': '', 'category_id': 11, 'in_pantry': False, 'slug': 'fettucine', 'name': 'Fettuccine', 'commonName': 'Fettuccine', 'image': '/cache/images/foods/fettucine.jpg', 'thumbnail': '/cache/images/foods-thumbnail/fettucine.jpg'}, {'id': 151, 'ingredient': '3/4 to 1 cup heavy whipping cream', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cream', 'name': 'Cream', 'commonName': 'Cream', 'image': '/cache/images/foods/cream.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cream.jpg'}, {'id': 183, 'ingredient': 'About 1/2 cup freshly shredded parmesan cheese', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cheese-parmesan', 'name': 'Parmesan', 'commonName': 'Parmesan', 'image': '/cache/images/foods/cheese-parmesan.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cheese-parmesan.jpg'}, {'id': 420, 'ingredient': 'Kosher salt and pepper', 'ratings': [], 'classnames': 'in-pantry', 'category_id': 13, 'in_pantry': True, 'slug': 'salt-pepper', 'name': 'Salt & Pepper', 'commonName': 'Salt & Pepper', 'image': '/cache/images/foods/salt-pepper.jpg', 'thumbnail': '/cache/images/foods-thumbnail/salt-pepper.jpg'}]",[],6,1,5,[],False
5,241878,Fettuccine Alfredo,williams-sonoma.com,https://www.williams-sonoma.com/recipe/fettuccine-alfredo.html,/recipe/241878/fettuccine-alfredo,isnt-blocked,is-enabled,,3.9000000953674,False,,/cache/images/recipes/241000/241878.jpg,35min,,35min,6.0,6.0,1151.08,7 oz,g,"[{'id': 313, 'ingredient': '1 lb. homemade tagliatelle (see related recipe at left) or purchased fresh fettuccine', 'ratings': [], 'classnames': '', 'category_id': 11, 'in_pantry': False, 'slug': 'fettucine', 'name': 'Fettuccine', 'commonName': 'Fettuccine', 'image': '/cache/images/foods/fettucine.jpg', 'thumbnail': '/cache/images/foods-thumbnail/fettucine.jpg'}, {'id': 151, 'ingredient': '1 1/2 cups heavy cream', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cream', 'name': 'Cream', 'commonName': 'Cream', 'image': '/cache/images/foods/cream.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cream.jpg'}, {'id': 183, 'ingredient': '1 cup grated Parmigiano-Reggiano cheese', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cheese-parmesan', 'name': 'Parmesan', 'commonName': 'Parmesan', 'image': '/cache/images/foods/cheese-parmesan.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cheese-parmesan.jpg'}, {'id': 518, 'ingredient': '5 Tbs. unsalted butter', 'ratings': [], 'classnames': '', 'category_id': 3, 'in_pantry': False, 'slug': 'butter', 'name': 'Butter', 'commonName': 'Butter', 'image': '/cache/images/foods/butter.jpg', 'thumbnail': '/cache/images/foods-thumbnail/butter.jpg'}, {'id': 408, 'ingredient': 'Freshly grated nutmeg, to taste', 'ratings': [], 'classnames': '', 'category_id': 13, 'in_pantry': False, 'slug': 'nutmeg', 'name': 'Nutmeg', 'commonName': 'Nutmeg', 'image': '/cache/images/foods/nutmeg.jpg', 'thumbnail': '/cache/images/foods-thumbnail/nutmeg.jpg'}, {'id': 420, 'ingredient': 'Salt and freshly ground pepper, to taste', 'ratings': [], 'classnames': 'in-pantry', 'category_id': 13, 'in_pantry': True, 'slug': 'salt-pepper', 'name': 'Salt & Pepper', 'commonName': 'Salt & Pepper', 'image': '/cache/images/foods/salt-pepper.jpg', 'thumbnail': '/cache/images/foods-thumbnail/salt-pepper.jpg'}]",[],6,1,5,[],False
6,304399,Fettuccine Alfredo,simplyrecipes.com,http://www.simplyrecipes.com/recipes/fettuccine_alfredo/,/recipe/304399/fettuccine-alfredo,isnt-blocked,is-enabled,,3.9000000953674,False,,/cache/images/recipes/304000/304399.jpg,,,,4.0,4.0,562.05,5 oz,g,"[{'id': 313, 'ingredient': '1/2 pound dry fettuccine pasta', 'ratings': [], 'classnames': '', 'category_id': 11, 'in_pantry': False, 'slug': 'fettucine', 'name': 'Fettuccine', 'commonName': 'Fettuccine', 'image': '/cache/images/foods/fettucine.jpg', 'thumbnail': '/cache/images/foods-thumbnail/fettucine.jpg'}, {'id': 183, 'ingredient': '2/3 cup finely grated parmesan cheese', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cheese-parmesan', 'name': 'Parmesan', 'commonName': 'Parmesan', 'image': '/cache/images/foods/cheese-parmesan.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cheese-parmesan.jpg'}, {'id': 408, 'ingredient': 'Nutmeg', 'ratings': [], 'classnames': '', 'category_id': 13, 'in_pantry': False, 'slug': 'nutmeg', 'name': 'Nutmeg', 'commonName': 'Nutmeg', 'image': '/cache/images/foods/nutmeg.jpg', 'thumbnail': '/cache/images/foods-thumbnail/nutmeg.jpg'}, {'id': 151, 'ingredient': '1/2 cup cream', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cream', 'name': 'Cream', 'commonName': 'Cream', 'image': '/cache/images/foods/cream.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cream.jpg'}, {'id': 518, 'ingredient': '3-4 Tbsp unsalted butter', 'ratings': [], 'classnames': '', 'category_id': 3, 'in_pantry': False, 'slug': 'butter', 'name': 'Butter', 'commonName': 'Butter', 'image': '/cache/images/foods/butter.jpg', 'thumbnail': '/cache/images/foods-thumbnail/butter.jpg'}, {'id': 381, 'ingredient': 'Black pepper', 'ratings': [], 'classnames': 'in-pantry', 'category_id': 13, 'in_pantry': True, 'slug': 'black-pepper', 'name': 'Black Pepper', 'commonName': 'Black Pepper', 'image': '/cache/images/foods/black-pepper.jpg', 'thumbnail': '/cache/images/foods-thumbnail/black-pepper.jpg'}]",[],6,1,5,[],False
7,335405,Skinny Alfredo Sauce,skinnyms.com,https://skinnyms.com/clean-eating-alfredo-sauce/,/recipe/335405/skinny-alfredo-sauce,isnt-blocked,is-enabled,,3.9000000953674,False,,/cache/images/recipes/335000/335405.jpg,,,,6.0,6.0,1572.61,9 oz,g,"[{'id': 514, 'ingredient': '3 cups chicken or vegetable stock', 'ratings': [], 'classnames': '', 'category_id': 3, 'in_pantry': False, 'slug': 'broth-vegetables', 'name': 'Broth, Vegetables', 'commonName': 'Vegetable Broth', 'image': '/cache/images/foods/broth-vegetables.jpg', 'thumbnail': '/cache/images/foods-thumbnail/broth-vegetables.jpg'}, {'id': 454, 'ingredient': '3 cups cauliflower florets', 'ratings': [], 'classnames': '', 'category_id': 7, 'in_pantry': False, 'slug': 'cauliflower', 'name': 'Cauliflower', 'commonName': 'Cauliflower', 'image': '/cache/images/foods/cauliflower.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cauliflower.jpg'}, {'id': 183, 'ingredient': '1/2 cup Parmesan cheese', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cheese-parmesan', 'name': 'Parmesan', 'commonName': 'Parmesan', 'image': '/cache/images/foods/cheese-parmesan.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cheese-parmesan.jpg'}, {'id': 358, 'ingredient': '1 tablespoon olive oil', 'ratings': [], 'classnames': '', 'category_id': 3, 'in_pantry': False, 'slug': 'oil-olive', 'name': 'Olive Oil', 'commonName': 'Olive Oil', 'image': '/cache/images/foods/oil-olive.jpg', 'thumbnail': '/cache/images/foods-thumbnail/oil-olive.jpg'}, {'id': 433, 'ingredient': '3 cloves garlic, minced', 'ratings': [], 'classnames': '', 'category_id': 7, 'in_pantry': False, 'slug': 'garlic', 'name': 'Garlic', 'commonName': 'Garlic', 'image': '/cache/images/foods/garlic.jpg', 'thumbnail': '/cache/images/foods-thumbnail/garlic.jpg'}, {'id': 420, 'ingredient': 'Salt and pepper, to taste', 'ratings': [], 'classnames': 'in-pantry', 'category_id': 13, 'in_pantry': True, 'slug': 'salt-pepper', 'name': 'Salt & Pepper', 'commonName': 'Salt & Pepper', 'image': '/cache/images/foods/salt-pepper.jpg', 'thumbnail': '/cache/images/foods-thumbnail/salt-pepper.jpg'}]",[],6,1,5,[],False
8,343562,My Favorite Creamy Pumpkin Alfredo,galonamission.com,https://www.galonamission.com/favorite-creamy-pumpkin-alfredo/,/recipe/343562/my-favorite-creamy-pumpkin-alfredo,isnt-blocked,is-enabled,,3.9000000953674,False,,/cache/images/recipes/343000/343562.jpg,,20min,20min,4.0,4.0,350.4,3 oz,g,"[{'id': 151, 'ingredient': '1 cup heavy cream', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cream', 'name': 'Cream', 'commonName': 'Cream', 'image': '/cache/images/foods/cream.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cream.jpg'}, {'id': 1049, 'ingredient': '3 tablespoons pumpkin puree (not pumpkin pie filling)', 'ratings': [], 'classnames': '', 'category_id': 7, 'in_pantry': False, 'slug': 'pumpkin-puree', 'name': 'Pumpkin Puree', 'commonName': 'Pumpkin Puree', 'image': '/cache/images/foods/pumpkin-puree.jpg', 'thumbnail': '/cache/images/foods-thumbnail/pumpkin-puree.jpg'}, {'id': 518, 'ingredient': '2 tablespoons unsalted butter', 'ratings': [], 'classnames': '', 'category_id': 3, 'in_pantry': False, 'slug': 'butter', 'name': 'Butter', 'commonName': 'Butter', 'image': '/cache/images/foods/butter.jpg', 'thumbnail': '/cache/images/foods-thumbnail/butter.jpg'}, {'id': 183, 'ingredient': '⅓ cup shredded Parmesan cheese', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'cheese-parmesan', 'name': 'Parmesan', 'commonName': 'Parmesan', 'image': '/cache/images/foods/cheese-parmesan.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cheese-parmesan.jpg'}, {'id': 433, 'ingredient': '2 garlic cloves, minced or grated', 'ratings': [], 'classnames': '', 'category_id': 7, 'in_pantry': False, 'slug': 'garlic', 'name': 'Garlic', 'commonName': 'Garlic', 'image': '/cache/images/foods/garlic.jpg', 'thumbnail': '/cache/images/foods-thumbnail/garlic.jpg'}, {'id': 418, 'ingredient': 'pinch of salt, pepper, and pumpkin pie spice', 'ratings': [], 'classnames': 'in-pantry', 'category_id': 13, 'in_pantry': True, 'slug': 'salt', 'name': 'Salt', 'commonName': 'Salt', 'image': '/cache/images/foods/salt.jpg', 'thumbnail': '/cache/images/foods-thumbnail/salt.jpg'}]",[],6,1,5,[],False
9,257058,Creamy Vegan Alfredo Pasta Bake. Fast. Easy. Lemon-y. Cheezy.,kblog.lunchboxbunch.com,http://kblog.lunchboxbunch.com/2014/08/creamy-vegan-alfredo-pasta-bake-fast.html,/recipe/257058/creamy-vegan-alfredo-pasta-bake-fast-easy-lemon-y-cheezy,isnt-blocked,is-enabled,,3.75,False,,/cache/images/recipes/257000/257058.jpg,,,2h,3.0,3.0,746.06,9 oz,g,"[{'id': 77, 'ingredient': '1 1/2 cups soaked raw cashews (soaked for at least two hours in salted hot water)', 'ratings': [], 'classnames': '', 'category_id': 2, 'in_pantry': False, 'slug': 'cashews', 'name': 'Cashews', 'commonName': 'Cashews', 'image': '/cache/images/foods/cashews.jpg', 'thumbnail': '/cache/images/foods-thumbnail/cashews.jpg'}, {'id': 250, 'ingredient': '1 large or 2 small lemons, juiced', 'ratings': [], 'classnames': '', 'category_id': 6, 'in_pantry': False, 'slug': 'lemon', 'name': 'Lemons', 'commonName': 'Lemons', 'image': '/cache/images/foods/lemon.jpg', 'thumbnail': '/cache/images/foods-thumbnail/lemon.jpg'}, {'id': 154, 'ingredient': '1 cup almond or non-dairy milk, original or plain flavor', 'ratings': [], 'classnames': '', 'category_id': 5, 'in_pantry': False, 'slug': 'almond-beverage', 'name': 'Almond Milk', 'commonName': 'Almond Milk', 'image': '/cache/images/foods/almond-beverage.jpg', 'thumbnail': '/cache/images/foods-thumbnail/almond-beverage.jpg'}, {'id': 895, 'ingredient': ""1/3 cup nutritional yeast (or more if you'd like)"", 'ratings': [], 'classnames': '', 'category_id': 3, 'in_pantry': False, 'slug': 'nutritional-yeast', 'name': 'Nutrional Yeast', 'commonName': 'Nutrional Yeast', 'image': '/cache/images/foods/nutritional-yeast.jpg', 'thumbnail': '/cache/images/foods-thumbnail/nutritional-yeast.jpg'}, {'id': 407, 'ingredient': '2 Tbsp white or sweet miso paste', 'ratings': [], 'classnames': '', 'category_id': 3, 'in_pantry': False, 'slug': 'miso', 'name': 'Miso', 'commonName': 'Miso', 'image': '/cache/images/foods/miso.jpg', 'thumbnail': '/cache/images/foods-thumbnail/miso.jpg'}, {'id': 661, 'ingredient': 'optional: a few spoonfuls of the warm pasta water to thin out sauce as desired', 'ratings': [], 'classnames': 'in-pantry', 'category_id': 4, 'in_pantry': True, 'slug': 'water', 'name': 'Water', 'commonName': 'Water', 'image': '/cache/images/foods/water.jpg', 'thumbnail': '/cache/images/foods-thumbnail/water.jpg'}, {'id': 381, 'ingredient': '1/8 tsp fresh black pepper + more to serve', 'ratings': [], 'classnames': 'in-pantry', 'category_id': 13, 'in_pantry': True, 'slug': 'black-pepper', 'name': 'Black Pepper', 'commonName': 'Black Pepper', 'image': '/cache/images/foods/black-pepper.jpg', 'thumbnail': '/cache/images/foods-thumbnail/black-pepper.jpg'}]",[],7,2,5,[],False
